rosbagTimestamp,linear,x,y,z,angular,x,y,z
1299161000000,,0.0,0.0,0.0,,0.0,0.0,-0.0
1299181000000,,0.0,0.0,0.0,,0.0,0.0,0.488561332226
1299201000000,,0.0,0.0,0.0,,0.0,0.0,0.865308940411
1299221000000,,0.0,0.0,0.0,,0.0,0.0,1.07191246748
1299241000000,,0.0,0.0,0.0,,0.0,0.0,1.18129080534
1299261000000,,0.0,0.0,0.0,,0.0,0.0,1.25420969725
1299281000000,,0.0,0.0,0.0,,0.0,0.0,1.4
1299331000000,,0.0,0.0,0.0,,0.0,0.0,1.4
1299381000000,,0.0,0.0,0.0,,0.0,0.0,1.4
1299431000000,,0.0,0.0,0.0,,0.0,0.0,1.4
1299481000000,,0.0,0.0,0.0,,0.0,0.0,1.4
1299531000000,,0.0,0.0,0.0,,0.0,0.0,1.4
1299581000000,,0.0,0.0,0.0,,0.0,0.0,1.4
1299631000000,,0.0,0.0,0.0,,0.0,0.0,1.4
1299681000000,,0.0,0.0,0.0,,0.0,0.0,1.4
1299731000000,,0.0,0.0,0.0,,0.0,0.0,1.4
1299780000000,,0.0,0.0,0.0,,0.0,0.0,1.04760617018
1299801000000,,0.0,0.0,0.0,,0.0,0.0,0.853155791759
1299820000000,,0.0,0.0,0.0,,0.0,0.0,0.816696345806
1299870000000,,0.0,0.0,0.0,,0.0,0.0,0.816696345806
1299901000000,,0.0,0.0,0.0,,0.0,0.0,0.755930602551
1299921000000,,0.0,0.0,0.0,,0.0,0.0,0.53717392683
1299941000000,,0.0,0.0,0.0,,0.0,0.0,0.294110953808
1299961000000,,0.0,0.0,0.0,,0.0,0.0,-0.0
1299981000000,,0.0,0.0,0.0,,0.0,0.0,-0.0
1300030000000,,0.0,0.0,0.0,,0.0,0.0,-0.0
1300080000000,,0.0,0.0,0.0,,0.0,0.0,-0.0
1300131000000,,0.0,0.0,0.0,,0.0,0.0,-0.0
1300139000000,,0.0,0.0,0.0,,0.0,0.0,-0.0
1300179000000,,0.0,0.0,0.0,,0.0,0.0,-0.0
1300229000000,,0.0,0.0,0.0,,0.0,0.0,-0.0
1300280000000,,0.333418101072,0.0,0.0,,0.0,0.0,-0.0
1300300000000,,1.23622345924,0.0,0.0,,0.0,0.0,-0.0
1300320000000,,1.96541237831,0.0,0.0,,0.0,0.0,-0.0
1300340000000,,2.0,0.0,0.0,,0.0,0.0,-0.0
1300390000000,,2.0,0.0,0.0,,0.0,0.0,-0.0
1300440000000,,2.0,0.0,0.0,,0.0,0.0,-0.0
1300490000000,,2.0,0.0,0.0,,0.0,0.0,-0.0
1300540000000,,2.0,0.0,0.0,,0.0,0.0,-0.0
1300590000000,,2.0,0.0,0.0,,0.0,0.0,-0.0
